time_s,temp0_C,U1_bottom_C,U2_coilTop_C,U3_top_C,U4_coilMid_C,temp5_C,temp6_C,temp7_C,temp8_C,temp9_C,valve,mode,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,Strat_top_minus_bottom_C,dTbulk_dt_C_per_s,P_bath_W,P_HX_W,UA_corr_W_per_K
12.053,,9.74,9.66,10.45,9.98,,,,,,1,O,0.20088333333333336,10.094999999999999,9.82,0.2749999999999986,0.7099999999999991,0.0006735590726452246,-13.621385126104379,130.51695057139892,474.6070929869076
13.058,,9.74,9.48,10.44,9.93,,,,,,1,O,0.21763333333333332,10.09,9.705,0.3849999999999998,0.6999999999999993,0.0010492418346638027,-21.218817622406085,122.91951807509722,319.2714755197332
14.063,,9.7,9.3,10.43,10.02,,,,,,1,O,0.23438333333333333,10.065,9.66,0.40499999999999936,0.7300000000000004,0.0010564030540949532,-21.36363896296224,122.77469673454105,303.1473993445463
15.068,,9.68,9.19,10.46,10.02,,,,,,1,O,0.2511333333333333,10.07,9.605,0.46499999999999986,0.7800000000000011,0.0007552941274063422,-15.274313138538462,128.86402255896482,277.12693023433303
16.072,,9.67,8.98,10.45,9.98,,,,,,1,O,0.26786666666666664,10.059999999999999,9.48,0.5799999999999983,0.7799999999999994,0.0009052428162892064,-18.306725473816623,125.83161022368667,216.95105210980523
17.078,,9.68,8.8,10.39,9.98,,,,,,1,O,0.28463333333333335,10.035,9.39,0.6449999999999996,0.7100000000000009,0.0011288981746355067,-22.829707785653856,121.30862791184944,188.07539211139462
18.082,,9.68,8.57,10.39,9.98,,,,,,1,O,0.30136666666666667,10.035,9.275,0.7599999999999998,0.7100000000000009,0.0010613600982913856,-21.463885267746694,122.6744504297566,161.41375056546926
19.087,,9.7,8.29,10.45,9.96,,,,,,1,O,0.31811666666666666,10.075,9.125,0.9499999999999993,0.75,0.0008390939560230053,-16.968997072653238,127.16933862485006,133.8624617103686
20.091,,9.77,8.09,10.45,10.06,,,,,,1,O,0.33485000000000004,10.11,9.075,1.0350000000000001,0.6799999999999997,0.000682163498927325,-13.795392438807296,130.342943258696,125.93521087796714
21.097,,9.66,7.85,10.39,9.98,,,,,,1,O,0.3516166666666667,10.025,8.915,1.1100000000000012,0.7300000000000004,0.0007469188491483006,-15.104939886326084,129.0333958111772,116.24630253259194
22.102,,9.72,7.53,10.38,10.05,,,,,,1,O,0.3683666666666667,10.05,8.790000000000001,1.2599999999999998,0.6600000000000001,0.0005571108890851419,-11.266453509968827,132.87188218753448,105.45387475201152
23.106,,9.7,7.33,10.44,10.02,,,,,,1,O,0.38510000000000005,10.07,8.675,1.3949999999999996,0.7400000000000002,0.0004713494128621735,-9.532099176311737,134.60623652119156,96.49192582164272
24.111,,9.79,6.98,10.45,10.0,,,,,,1,O,0.40185,10.12,8.49,1.629999999999999,0.6600000000000001,0.0005867872635928594,-11.866598831638399,132.2717368658649,81.14830482568404
25.116,,9.65,6.7,10.44,9.95,,,,,,1,O,0.41859999999999997,10.045,8.325,1.7200000000000006,0.7899999999999991,0.0005693099343964555,-11.513154803299523,132.62518089420377,77.10766331058356
