temperature_C,heat_flow_W_per_g
-173.27898550724638,-0.2673629242819843
-172.82608695652175,-0.2673629242819843
-172.3731884057971,-0.2673629242819843
-171.92028985507247,-0.26866840731070496
-171.4673913043478,-0.26866840731070496
-171.0144927536232,-0.2699738903394256
-170.56159420289856,-0.2712793733681462
-170.1086956521739,-0.27258485639686686
-169.65579710144928,-0.27780678851174934
-169.20289855072463,-0.2856396866840731
-168.75,-0.2908616187989556
-168.29710144927537,-0.3078328981723238
-167.84420289855072,-0.31174934725848563
-167.3913043478261,-0.3156657963446475
-166.93840579710144,-0.3130548302872062
-166.4855072463768,-0.3078328981723238
-166.0326086956522,-0.30391644908616183
-165.57971014492753,-0.3013054830287207
-165.1268115942029,-0.3
-164.67391304347825,-0.29869451697127936
-164.22101449275362,-0.29869451697127936
-163.768115942029,-0.29869451697127936
-162.86231884057972,-0.2960835509138381
-162.40942028985506,-0.2947780678851175
-161.95652173913044,-0.2947780678851175
-161.5036231884058,-0.2934725848563969
-161.05072463768116,-0.2934725848563969
-160.59782608695653,-0.2934725848563969
-160.14492753623188,-0.2934725848563969
-159.69202898550725,-0.29216710182767625
-159.23913043478262,-0.29216710182767625
-158.78623188405797,-0.2908616187989556
-158.33333333333331,-0.2908616187989556
-157.8804347826087,-0.2908616187989556
-157.42753623188406,-0.2908616187989556
-156.97463768115944,-0.2908616187989556
-156.52173913043478,-0.289556135770235
-156.06884057971013,-0.28825065274151435
-155.6159420289855,-0.28825065274151435
-155.16304347826087,-0.28825065274151435
-154.71014492753625,-0.28825065274151435
-153.80434782608694,-0.28825065274151435
-153.3514492753623,-0.28825065274151435
-152.8985507246377,-0.2869451697127937
-152.44565217391303,-0.2869451697127937
-151.9927536231884,-0.2869451697127937
-151.53985507246375,-0.2856396866840731
-151.08695652173913,-0.2856396866840731
-150.6340579710145,-0.2856396866840731
-150.18115942028984,-0.2856396866840731
-149.72826086956522,-0.2856396866840731
-149.27536231884056,-0.2856396866840731
-148.82246376811594,-0.2856396866840731
-148.3695652173913,-0.2843342036553525
-147.91666666666666,-0.2843342036553525
-147.46376811594203,-0.28302872062663187
-147.01086956521738,-0.28302872062663187
-146.55797101449275,-0.28302872062663187
-146.10507246376812,-0.28302872062663187
-145.65217391304347,-0.28302872062663187
-145.19927536231884,-0.28302872062663187
-143.84057971014494,-0.2804177545691906
-143.38768115942028,-0.2804177545691906
-142.93478260869566,-0.2804177545691906
-142.481884057971,-0.2804177545691906
-142.02898550724638,-0.2804177545691906
-141.57608695652175,-0.2804177545691906
-141.1231884057971,-0.27911227154046997
-140.67028985507247,-0.27911227154046997
-140.2173913043478,-0.27911227154046997
-139.7644927536232,-0.27780678851174934
-139.31159420289856,-0.27780678851174934
-138.8586956521739,-0.27780678851174934
-138.40579710144928,-0.2765013054830287
-137.95289855072463,-0.27519582245430807
-137.5,-0.27519582245430807
-137.04710144927537,-0.27519582245430807
-136.59420289855072,-0.27389033942558744
-136.1413043478261,-0.27258485639686686
-135.2355072463768,-0.2712793733681462
-134.7826086956522,-0.2712793733681462
-134.32971014492753,-0.2699738903394256
-133.87681159420288,-0.26866840731070496
-133.42391304347825,-0.2673629242819843
-132.97101449275362,-0.2660574412532637
-132.518115942029,-0.2634464751958224
-132.06521739130434,-0.2634464751958224
-131.6123188405797,-0.2608355091383812
-131.15942028985506,-0.2608355091383812
-130.70652173913044,-0.25822454308093995
-130.2536231884058,-0.2556135770234987
-129.80072463768116,-0.25430809399477805
-129.3478260869565,-0.2530026109660574
-128.89492753623188,-0.24516971279373367
-128.44202898550725,-0.2425587467362924
-127.98913043478261,-0.23733681462140993
-127.53623188405797,-0.22950391644908613
-127.08333333333333,-0.2216710182767624
-126.63043478260869,-0.21122715404699738
-126.17753623188406,-0.20469973890339427
-125.72463768115942,-0.18381201044386425
-125.27173913043478,-0.16945169712793734
-124.81884057971014,-0.1537859007832898
-124.3659420289855,-0.1302872062663185
-123.91304347826087,-0.11592689295039166
-123.46014492753623,-0.09765013054830285
-123.0072463768116,-0.07154046997389035
-122.55434782608695,-0.05979112271540471
-122.10144927536231,-0.04151436031331593
-121.64855072463767,-0.03368146214099216
-120.7427536231884,-0.029765013054830286
-120.28985507246377,-0.042819843342036534
-119.83695652173913,-0.06109660574412534
-119.38405797101449,-0.10287206266318538
-118.93115942028986,-0.12245430809399477
-118.47826086956522,-0.1642297650130548
-118.02536231884058,-0.18511749347258483
-117.57246376811594,-0.2177545691906005
-117.1195652173913,-0.23342036553524803
-116.66666666666666,-0.24778067885117494
-116.21376811594203,-0.2634464751958224
-115.76086956521739,-0.2673629242819843
-115.30797101449275,-0.27389033942558744
-114.85507246376811,-0.27780678851174934
-114.40217391304347,-0.2804177545691906
-113.94927536231884,-0.2843342036553525
-113.4963768115942,-0.2869451697127937
-113.04347826086956,-0.28825065274151435
-112.59057971014492,-0.29216710182767625
-112.13768115942028,-0.2934725848563969
-111.68478260869566,-0.29869451697127936
-111.23188405797102,-0.3013054830287207
-110.77898550724638,-0.30391644908616183
-110.32608695652173,-0.3078328981723238
-109.8731884057971,-0.3130548302872062
-109.42028985507247,-0.31827676240208874
-108.96739130434783,-0.3234986945169713
-108.51449275362319,-0.3300261096605744
-108.06159420289855,-0.33263707571801565
-107.6086956521739,-0.3430809399477807
-107.15579710144927,-0.3496083550913838
-106.70289855072464,-0.35483028720626636
-106.25,-0.36135770234986947
-105.79710144927536,-0.36919060052219316
-105.34420289855072,-0.3757180156657964
-104.89130434782608,-0.3796344647519582
-104.43840579710145,-0.3900783289817233
-103.98550724637681,-0.3953002610966057
-103.53260869565217,-0.4018276762402088
-103.07971014492753,-0.40835509138381204
-102.62681159420289,-0.41357702349869446
-102.17391304347825,-0.418798955613577
-101.72101449275362,-0.4201044386422977
-101.26811594202898,-0.42271540469973895
-100.81521739130434,-0.42402088772845953
-99.90942028985506,-0.4253263707571801
-99.45652173913044,-0.4174934725848564
-99.0036231884058,-0.40052219321148824
-98.55072463768116,-0.387467362924282
-98.09782608695652,-0.37832898172323765
-97.64492753623188,-0.3365535248041775
-97.19202898550725,-0.3234986945169713
-96.73913043478261,-0.29869451697127936
-96.28623188405797,-0.2843342036553525
-95.83333333333333,-0.2765013054830287
-95.38043478260869,-0.27258485639686686
-94.92753623188406,-0.26866840731070496
-94.47463768115942,-0.26866840731070496
-93.56884057971014,-0.26475195822454306
-93.1159420289855,-0.26475195822454306
-92.66304347826086,-0.26475195822454306
-92.21014492753623,-0.26475195822454306
-91.7572463768116,-0.26475195822454306
-91.30434782608695,-0.26475195822454306
-90.85144927536231,-0.2634464751958224
-90.39855072463767,-0.2634464751958224
-89.94565217391305,-0.2634464751958224
-89.4927536231884,-0.26214099216710185
-89.03985507246377,-0.26214099216710185
-88.58695652173913,-0.26214099216710185
-88.13405797101449,-0.26214099216710185
-87.68115942028984,-0.26214099216710185
-87.22826086956522,-0.26214099216710185
-86.77536231884058,-0.26214099216710185
-86.32246376811594,-0.26214099216710185
-85.8695652173913,-0.26214099216710185
-85.41666666666666,-0.26214099216710185
-84.96376811594203,-0.26214099216710185
-83.60507246376811,-0.2608355091383812
-83.15217391304347,-0.2608355091383812
-82.69927536231884,-0.2595300261096606
-82.2463768115942,-0.2595300261096606
-81.79347826086956,-0.2595300261096606
-81.34057971014492,-0.2595300261096606
-80.88768115942028,-0.2595300261096606
-80.43478260869566,-0.2595300261096606
-79.98188405797102,-0.2595300261096606
-79.52898550724638,-0.2595300261096606
-79.07608695652173,-0.2595300261096606
-78.6231884057971,-0.2595300261096606
-78.17028985507245,-0.2595300261096606
-77.71739130434783,-0.2595300261096606
-77.26449275362319,-0.2595300261096606
-76.81159420289855,-0.2595300261096606
-76.3586956521739,-0.2595300261096606
-75.90579710144927,-0.2595300261096606
-75.45289855072464,-0.2595300261096606
-75.0,-0.2595300261096606
-73.64130434782608,-0.2595300261096606
-73.18840579710144,-0.2595300261096606
-72.73550724637681,-0.2595300261096606
-72.28260869565217,-0.2595300261096606
-71.82971014492753,-0.25822454308093995
-71.3768115942029,-0.2569190600522193
-70.92391304347825,-0.2569190600522193
-70.47101449275362,-0.2569190600522193
-70.01811594202897,-0.2569190600522193
-69.56521739130434,-0.2569190600522193
-69.11231884057972,-0.2569190600522193
-68.65942028985506,-0.2569190600522193
-68.20652173913044,-0.2569190600522193
-67.75362318840578,-0.2569190600522193
-67.30072463768116,-0.2569190600522193
-66.84782608695653,-0.2569190600522193
-66.39492753623188,-0.2569190600522193
-65.94202898550725,-0.2569190600522193
-65.4891304347826,-0.2569190600522193
-65.03623188405797,-0.2569190600522193
-63.67753623188406,-0.2569190600522193
-63.22463768115941,-0.2569190600522193
-62.77173913043478,-0.2569190600522193
-62.31884057971013,-0.2569190600522193
-61.8659420289855,-0.2569190600522193
-61.413043478260875,-0.2569190600522193
-60.96014492753622,-0.2569190600522193
-60.507246376811594,-0.2569190600522193
-60.05434782608694,-0.2569190600522193
-59.60144927536231,-0.2569190600522193
-59.14855072463769,-0.2569190600522193
-58.69565217391303,-0.2569190600522193
-58.242753623188406,-0.2569190600522193
-57.78985507246375,-0.2556135770234987
-57.336956521739125,-0.2556135770234987
-56.8840579710145,-0.2556135770234987
-56.431159420289845,-0.2556135770234987
