dataset,title,window_min,samples,slope_C_per_min,slope_C_per_min_sigma,P_HX_fit_W,P_HX_fit_W_sigma,UA_fit_W_per_K,UA_fit_W_per_K_sigma,heat_flux_fit_W_m2,heat_flux_fit_W_m2_sigma,UA_area_fit_W_per_m2K,UA_area_fit_W_per_m2K_sigma,DeltaT_mean_C,r_squared
nomix,No-mix baseline,2.0-12.0,597,-0.7639258458611695,0.0011039879744158966,212.1137025722046,0.30653626672961226,5.963815227876885,0.008618611778728857,1767.6141881017052,2.5544688894134358,49.698460232307376,0.07182176482274048,35.5667797319933,0.998758908190295
mixed,Mixed bath,5.0-20.0,559,-0.8805434566267665,0.002497332729865359,255.81323118017656,0.7255187125076286,166.3956576774576,0.4719191527664977,2131.7769265014713,6.0459892708969045,1386.63048064548,3.9326596063874812,1.5373792486583187,0.9955396904092697
