dataset,window_min,samples,P_HX_median_W,P_HX_p10_W,P_HX_p90_W,Heat_flux_median_W_m2,UA_median_W_per_K,UA_flux_median_W_per_m2K,DeltaT_median_C
nomix,2-6,239,204.42191892279558,158.8898255602046,238.96280772821456,1703.5159910232967,9.927490871823492,82.72909059852911,21.0425
nomix,6-10,239,222.7987169883936,182.2053828518137,237.04437313547467,1856.6559749032801,6.134747313366638,51.12289427805532,35.005
nomix,10-14,238,175.0702683500162,141.5529378982054,231.87019341244604,1458.9189029168017,2.2595650241085226,18.82970853423769,77.47999999999999
mixed,2-6,190,174.0527548884656,131.87848750486737,205.00465989731035,1450.4396240705469,190.7130087381703,1589.2750728180858,0.8649999999999993
mixed,6-10,219,221.21215423160814,199.66823957065108,256.54657942837844,1843.4346185967345,176.93534538328706,1474.4612115273922,1.2700000000000014
mixed,10-14,235,284.41960958713815,261.3448271725411,326.05677935580655,2370.1634132261515,160.5052953978844,1337.5441283157033,1.785000000000002
