log,bypass_marker_s,bypass_marker_note,selected_samples,tmi_min_C,tmi_max_C
log_20260424_153546.csv,3477.55,40% to 30% command transition at 57.96 min,6389,-99.89,-27.83
log_20260422_143345.csv,18117.0,notebook marker at 301.95 min,2219,-65.36,-4.09
