time_s,TMI_C,pump_cmd_pct,pump_freq_hz,pump_pressure_before_bar_abs,pump_pressure_after_bar_abs,pump_pressure_error_bar,source_log,t_min,delta_p_bar,delta_p_full_error_bar,tmi_error_C
3805.972,-70.61,40.0,28.11,2.31,2.936,0.05,log_20260424_153546.csv,63.43286666666667,0.6259999999999999,0.1,1.0
3808.064,-70.72,40.0,28.11,2.242,2.887,0.05,log_20260424_153546.csv,63.46773333333333,0.645,0.1,1.0
3810.159,-70.79,40.0,28.11,2.32,2.887,0.05,log_20260424_153546.csv,63.50265,0.5670000000000002,0.1,1.0
3812.251,-70.93,40.0,28.11,2.281,2.926,0.05,log_20260424_153546.csv,63.53751666666667,0.645,0.1,1.0
3814.342,-70.86,40.0,28.12,2.164,2.691,0.05,log_20260424_153546.csv,63.57236666666667,0.5269999999999997,0.1,1.0
3816.434,-70.89,40.0,28.12,2.154,2.926,0.05,log_20260424_153546.csv,63.60723333333333,0.7720000000000002,0.1,1.0
3818.526,-71.06,40.0,28.11,2.242,2.877,0.05,log_20260424_153546.csv,63.6421,0.6349999999999998,0.1,1.0
3820.617,-71.28,40.0,28.11,2.3,2.985,0.05,log_20260424_153546.csv,63.676950000000005,0.685,0.1,1.0
3822.709,-71.65,40.0,28.11,2.31,2.936,0.05,log_20260424_153546.csv,63.711816666666664,0.6259999999999999,0.1,1.0
3824.8,-71.75,40.0,28.11,2.203,2.769,0.05,log_20260424_153546.csv,63.74666666666667,0.5660000000000003,0.1,1.0
3826.892,-71.96,40.0,28.12,2.193,2.897,0.05,log_20260424_153546.csv,63.78153333333333,0.7039999999999997,0.1,1.0
3828.984,-71.98,40.0,28.12,2.3,2.995,0.05,log_20260424_153546.csv,63.8164,0.6950000000000003,0.1,1.0
3831.075,-71.94,40.0,28.12,2.242,2.652,0.05,log_20260424_153546.csv,63.85125,0.41000000000000014,0.1,1.0
3833.167,-72.07,40.0,28.12,2.251,2.877,0.05,log_20260424_153546.csv,63.886116666666666,0.6259999999999999,0.1,1.0
3835.259,-72.0,40.0,28.12,2.251,2.956,0.05,log_20260424_153546.csv,63.92098333333333,0.7050000000000001,0.1,1.0
3837.35,-71.89,40.0,28.11,2.232,2.828,0.05,log_20260424_153546.csv,63.95583333333333,0.5959999999999996,0.1,1.0
3839.442,-71.61,40.0,28.11,2.32,2.838,0.05,log_20260424_153546.csv,63.9907,0.5180000000000002,0.1,1.0
3841.533,-71.79,40.0,28.1,2.3,2.71,0.05,log_20260424_153546.csv,64.02555,0.41000000000000014,0.1,1.0
3843.625,-71.68,40.0,28.11,2.017,2.759,0.05,log_20260424_153546.csv,64.06041666666667,0.742,0.1,1.0
3845.718,-71.75,40.0,28.11,2.193,2.877,0.05,log_20260424_153546.csv,64.0953,0.6839999999999997,0.1,1.0
3847.809,-71.83,40.0,28.12,2.251,2.877,0.05,log_20260424_153546.csv,64.13015,0.6259999999999999,0.1,1.0
3849.901,-71.83,40.0,28.11,2.29,2.769,0.05,log_20260424_153546.csv,64.16501666666666,0.4790000000000001,0.1,1.0
3851.993,-72.04,40.0,28.11,2.368,2.809,0.05,log_20260424_153546.csv,64.19988333333333,0.4410000000000003,0.1,1.0
3854.084,-71.97,40.0,28.12,2.144,2.71,0.05,log_20260424_153546.csv,64.23473333333332,0.5659999999999998,0.1,1.0
3856.176,-72.11,40.0,28.14,2.32,2.769,0.05,log_20260424_153546.csv,64.2696,0.4490000000000003,0.1,1.0
3858.268,-72.14,40.0,28.14,2.212,2.73,0.05,log_20260424_153546.csv,64.30446666666667,0.5179999999999998,0.1,1.0
3860.359,-72.25,40.0,28.14,2.193,2.681,0.05,log_20260424_153546.csv,64.33931666666666,0.488,0.1,1.0
3862.451,-72.45,40.0,28.14,2.212,2.75,0.05,log_20260424_153546.csv,64.37418333333333,0.5379999999999998,0.1,1.0
3864.542,-72.37,40.0,28.14,2.203,2.642,0.05,log_20260424_153546.csv,64.40903333333333,0.43900000000000006,0.1,1.0
3866.634,-72.52,40.0,28.14,2.232,2.74,0.05,log_20260424_153546.csv,64.4439,0.508,0.1,1.0
3868.727,-72.78,40.0,28.14,2.173,2.858,0.05,log_20260424_153546.csv,64.47878333333333,0.685,0.1,1.0
3870.823,-72.81,40.0,28.14,2.3,2.858,0.05,log_20260424_153546.csv,64.51371666666667,0.5580000000000003,0.1,1.0
3872.915,-72.83,40.0,28.14,2.203,2.789,0.05,log_20260424_153546.csv,64.54858333333333,0.5860000000000003,0.1,1.0
3875.011,-73.19,40.0,28.14,2.31,2.789,0.05,log_20260424_153546.csv,64.58351666666667,0.4790000000000001,0.1,1.0
3877.102,-73.03,40.0,28.14,2.095,2.779,0.05,log_20260424_153546.csv,64.61836666666666,0.6839999999999997,0.1,1.0
3879.194,-73.14,40.0,28.14,2.339,2.818,0.05,log_20260424_153546.csv,64.65323333333333,0.4790000000000001,0.1,1.0
3881.285,-73.3,40.0,28.14,2.154,2.818,0.05,log_20260424_153546.csv,64.68808333333332,0.6640000000000001,0.1,1.0
3883.377,-73.39,40.0,28.14,2.281,2.73,0.05,log_20260424_153546.csv,64.72295,0.44899999999999984,0.1,1.0
3885.469,-73.51,40.0,28.14,2.164,2.838,0.05,log_20260424_153546.csv,64.75781666666667,0.6739999999999999,0.1,1.0
3887.56,-73.53,40.0,28.14,2.31,2.858,0.05,log_20260424_153546.csv,64.79266666666666,0.548,0.1,1.0
3889.652,-73.62,40.0,28.14,2.076,2.74,0.05,log_20260424_153546.csv,64.82753333333334,0.6640000000000001,0.1,1.0
3891.743,-73.76,40.0,28.14,2.31,2.858,0.05,log_20260424_153546.csv,64.86238333333333,0.548,0.1,1.0
3893.835,-73.87,40.0,28.14,2.281,2.809,0.05,log_20260424_153546.csv,64.89725,0.528,0.1,1.0
3895.927,-73.76,40.0,28.14,2.281,2.779,0.05,log_20260424_153546.csv,64.93211666666667,0.4979999999999998,0.1,1.0
3898.018,-74.05,40.0,28.14,2.242,2.867,0.05,log_20260424_153546.csv,64.96696666666666,0.625,0.1,1.0
3900.11,-74.37,40.0,28.14,2.203,2.759,0.05,log_20260424_153546.csv,65.00183333333334,0.556,0.1,1.0
