time_s,temp0_C,temp1_C,temp2_C,temp3_C,temp4_C,temp5_C,temp6_C,temp7_C,temp8_C,temp9_C,valve,mode
67.335,nan,14.61,15.70,17.59,14.70,nan,nan,nan,nan,nan,0,A
68.339,nan,14.63,15.82,17.66,14.75,nan,nan,nan,nan,nan,0,A
69.345,nan,14.60,15.77,17.66,14.72,nan,nan,nan,nan,nan,0,A
70.349,nan,14.61,15.76,17.58,14.82,nan,nan,nan,nan,nan,0,A
71.355,nan,14.61,15.76,17.63,14.70,nan,nan,nan,nan,nan,0,A
72.359,nan,14.63,15.76,17.62,14.80,nan,nan,nan,nan,nan,0,A
73.365,nan,14.66,15.84,17.63,14.78,nan,nan,nan,nan,nan,0,A
