TC,gain,offset_C,cal_type
TTEST,1.0,0.22777777777777786,room-only
TFO,1.0954513448810026,-1.686021687086324,two-point
TTI,1.0977051882332687,-1.6653489350052624,two-point
TTO,1.107977529370207,-0.14224808851513515,two-point
TMI,1.1095136214520043,-1.1247399800313822,two-point
THM,1.0,-0.242222222222221,room-only
THI,1.0,-0.20222222222222186,room-only
