TC,gain,offset_C,cal_type
TTEST,1.0163822186682556,-0.38527272774785715,two-point
TFO,1.0016120974263096,-0.6258666955093055,two-point
TTI,0.9971516545272286,-0.8917518478352875,two-point
TTO,1.006182900012935,-0.18798240848531833,two-point
TMI,1.0035892235562471,-0.19544238276966297,two-point
THI,0.9902913103996818,-0.4391164357835642,room+warmup-transfer
THM,1.0676760638868044,-0.7447639201533995,room+warmup-transfer
